가방	bag
강아지	puppy
개	dog
검정	black
고양이	cat
곰	bear
공책	note
구두	shoes
구름	cloud
기린	giraffe
기차	train
나	i
너	you
넷	four
노랑	yellow
눈	eye
늑대	wolf
다리	leg
다섯	five
대한민국	korea
둘	two
딸	daughter
딸기	strawberry
모자	hat
미국	usa
바나나	banana
발	foot
방탄	bts
백조	swan
분홍	pink
빨강	red
사과	apple
사자	lion
새	bird
선생님	teacher
셋	three
소녀	girl
소년	boy
손	hand
손가락	finger
아기	baby
아들	son
아버지	father
아빠	dad
아이즈원	izone
아홉	nine
어머니	mother
얼굴	face
엄마	mom
엑소	exo
여덟	eight
여섯	six
여우	fox
여자친구	girlfriend
연필	pencil
열	ten
오렌지	orange
오리	duck
일곱	seven
일본	japan
입	mouth
자전거	bicycle
쥐	mouse
지우개	eraser
집	house
차	car
책상	desk
초록	green
커피	coffee
컴퓨터	computer
컵	cup
코	nose
코끼리	elephant
토마토	tomato
트럭	truc
트와이스	twice
파랑	blue
팔	arm
팬더	panda
펜	pencil
포도	grape
하나	one
하늘	sky
하양	white
학교	school
학생	student
호랑이	tiger
회색	gray
